Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-05-06 13:43:32,false,"Base","7.19","411","00:36:03","135","149","2.6","152","225","5:01","4:29","--","--","1.32","8.6","11.3","279","--","--","314","0.0","308","370","5,386","--","No","00:00:03.4","9","--","--","--","--","00:35:21","00:36:59","--","--"
Treadmill Running,2025-05-05 09:28:22,false,"Base","6.54","419","00:32:36","144","154","3.0","152","159","4:59","4:35","--","--","1.36","8.6","11.6","278","--","--","327","0.0","323","368","4,906","--","No","00:03:12.4","7","--","--","--","--","00:32:07","00:32:36","--","--"
Running,2025-05-04 17:20:28,false,"Sydney - Base","4.00","245","00:20:25","136","150","2.2","160","164","5:06","3:26","31","34","1.24","9.9","12.5","235","50.8% L / 49.3% R","5:04","339","0.0","336","496","3,224","22.0","No","00:00:01.4","5","28.0","23","15","30","00:20:24","00:21:54","43","57"
Treadmill Running,2025-05-03 11:26:32,false,"Base","5.39","328","00:26:31","140","156","2.7","152","180","4:55","4:41","--","--","1.29","8.7","11.2","280","--","--","310","0.0","308","347","4,046","--","No","00:00:56.3","6","--","--","--","--","00:26:06","00:28:12","--","--"
Running,2025-05-02 11:57:30,false,"Sydney - Anaerobic","5.19","397","00:35:57","137","179","3.0","119","213","6:55","2:35","21","23","1.21","7.1","8.5","254","49.6% L / 50.4% R","6:49","324","0.0","215","608","4,106","22.0","No","00:00:27.0","17","25.0","32","20","44","00:28:30","00:36:32","47","58"
Treadmill Running,2025-04-30 17:50:42,false,"Base","5.01","244","00:24:49","125","133","1.9","154","245","4:57","3:18","--","--","1.36","8.5","11.5","274","--","--","329","0.0","325","469","3,796","--","No","00:00:47.4","6","--","--","--","--","00:24:43","00:25:18","--","--"
Treadmill Running,2025-04-29 18:09:50,false,"Threshold","7.20","415","00:31:06","150","172","3.4","155","216","4:19","3:34","--","--","1.49","8.8","13.2","222","50.2% L / 49.8% R","--","367","0.0","360","479","4,752","--","No","00:00:05.6","9","--","33","13","49","00:30:35","00:31:06","--","--"
Treadmill Running,2025-04-28 09:52:24,false,"Base","7.02","377","00:34:27","135","152","2.8","154","240","4:54","4:16","--","--","1.41","8.3","11.7","271","--","--","340","0.0","338","386","5,270","--","No","00:01:53.6","8","--","--","--","--","00:34:09","00:38:11","--","--"
Treadmill Running,2025-04-27 10:09:27,false,"Base","6.04","270","00:28:40","124","143","1.9","153","161","4:45","4:28","--","--","1.34","8.5","11.3","272","--","--","326","0.0","319","361","4,316","--","No","00:04:40.0","6","--","--","--","--","00:28:07","00:30:33","--","--"
Treadmill Running,2025-04-26 11:50:03,false,"Recovery","5.33","248","00:26:03","124","142","2.0","154","210","4:53","3:25","--","--","1.35","8.5","11.5","274","--","--","325","0.0","326","470","3,996","--","No","00:00:03.0","7","--","--","--","--","00:25:58","00:28:02","--","--"
Running,2025-04-25 12:41:50,false,"Sydney - Sprint","4.08","288","00:28:43","133","170","2.4","131","246","7:03","1:56","19","21","1.03","7.7","8.1","288","50.5% L / 49.5% R","7:04","297","0.0","208","853","3,656","26.0","No","00:00:13.6","15","29.0","29","20","40","00:27:38","00:29:54","46","58"
Treadmill Running,2025-04-24 11:00:48,false,"Base","6.14","368","00:30:05","139","155","2.9","153","160","4:54","4:29","--","--","1.35","8.6","11.5","277","--","--","322","0.0","320","363","4,578","--","No","00:00:04.8","8","--","--","--","--","00:29:44","00:30:42","--","--"
Treadmill Running,2025-04-23 13:33:11,false,"Base","10.05","615","00:49:30","143","156","3.3","151","240","4:56","3:09","--","--","1.36","8.6","11.7","282","--","--","324","0.0","323","482","7,448","--","No","00:00:43.5","11","--","--","--","--","00:49:14","00:51:06","--","--"
Treadmill Running,2025-04-22 17:35:20,false,"Base","5.06","287","00:24:47","134","152","2.6","151","159","4:54","4:40","--","--","1.32","8.7","11.5","284","--","--","315","0.0","313","354","3,734","--","No","00:04:37.1","5","--","--","--","--","00:24:39","00:24:47","--","--"
Treadmill Running,2025-04-20 12:22:19,false,"Threshold","6.07","347","00:28:06","146","173","3.1","144","255","4:38","2:24","--","--","1.44","8.9","12.7","226","50.2% L / 49.8% R","--","350","0.0","321","502","3,994","--","No","00:00:05.8","8","--","32","13","51","00:25:46","00:28:06","--","--"
Treadmill Running,2025-04-19 16:52:39,false,"Base","6.16","362","00:30:09","138","155","2.8","154","160","4:54","4:31","--","--","1.33","8.5","11.4","275","--","--","321","0.0","319","353","4,636","--","No","00:00:09.5","8","--","--","--","--","00:29:58","00:30:09","--","--"
Treadmill Running,2025-04-18 13:05:24,false,"Base","10.02","574","00:49:50","139","156","3.1","154","161","4:58","4:27","--","--","1.34","8.5","11.5","275","--","--","322","0.0","321","362","7,632","--","No","00:00:28.2","12","--","--","--","--","00:49:17","00:52:55","--","--"
Treadmill Running,2025-04-16 18:03:13,false,"Recovery","3.76","188","00:18:05","127","140","2.0","155","159","4:49","4:36","--","--","1.34","8.5","11.4","273","--","--","324","0.0","325","350","2,786","--","No","00:00:04.8","5","--","--","--","--","00:18:04","00:18:38","--","--"
Treadmill Running,2025-04-15 10:31:29,false,"Threshold","5.82","342","00:28:27","142","173","3.1","144","247","4:53","3:26","--","--","1.47","7.9","11.7","225","50.3% L / 49.7% R","--","365","0.0","326","485","4,034","--","No","00:00:20.3","10","--","34","22","49","00:25:41","00:28:27","--","--"
Treadmill Running,2025-04-14 09:21:04,false,"Treadmill Running","5.04","246","00:24:19","127","137","2.0","156","195","4:50","4:29","--","--","1.34","8.4","11.3","270","--","--","325","0.0","322","361","3,780","--","No","00:00:10.3","6","--","--","--","--","00:24:04","00:25:58","--","--"
Treadmill Running,2025-04-13 18:10:04,false,"Treadmill Running","4.06","220","00:19:49","134","151","2.3","155","233","4:53","3:23","--","--","1.32","8.6","11.2","275","--","--","315","0.0","315","479","3,030","--","No","00:04:51.9","4","--","--","--","--","00:19:38","00:20:54","--","--"
Treadmill Running,2025-04-12 17:26:19,false,"Treadmill Running","5.56","235","00:27:24","119","126","1.3","153","161","4:56","4:42","--","--","1.31","8.7","11.4","279","--","--","316","0.0","315","341","4,168","--","No","00:02:33.4","6","--","--","--","--","00:27:22","00:27:24","--","--"
Treadmill Running,2025-04-11 13:17:09,false,"Threshold","6.43","358","00:27:05","149","174","3.2","158","165","4:13","3:32","--","--","1.52","8.4","13.0","221","50.5% L / 49.5% R","--","377","0.0","374","468","4,242","--","No","00:00:04.6","9","--","34","18","46","00:27:01","00:29:22","--","--"
Treadmill Running,2025-04-09 11:02:45,false,"Base","7.21","440","00:35:16","141","154","3.1","155","162","4:54","4:35","--","--","1.30","8.6","11.2","277","--","--","314","0.0","314","357","5,416","--","No","00:00:23.9","8","--","--","--","--","00:35:14","00:36:07","--","--"
Running,2025-04-08 17:48:52,false,"Sydney - Base","4.02","243","00:20:44","130","140","2.2","154","165","5:10","4:21","26","28","1.23","8.6","10.6","270","--","5:10","322","0.0","311","465","3,270","22.0","No","00:00:07.8","5","28.0","--","--","--","00:20:42","00:20:44","46","57"
Treadmill Running,2025-04-07 12:46:47,false,"Threshold","7.61","419","00:35:04","143","177","3.1","144","226","4:36","3:26","--","--","1.45","8.4","11.9","229","50.0% L / 50.0% R","--","350","0.0","314","488","4,930","--","No","00:00:04.0","11","--","34","16","51","00:30:58","00:37:41","--","--"
Treadmill Running,2025-04-06 18:01:26,false,"Base","4.05","222","00:20:43","129","144","2.1","153","228","5:07","4:18","--","--","1.40","8.2","11.5","265","--","--","339","0.0","330","376","3,134","--","No","00:01:49.3","5","--","--","--","--","00:19:59","00:20:43","--","--"
Treadmill Running,2025-04-05 17:32:37,false,"Treadmill Running","5.02","208","00:24:45","118","138","1.4","149","240","4:56","4:31","--","--","1.32","8.5","11.2","272","--","--","310","0.0","297","373","3,766","--","No","00:03:58.5","5","--","--","--","--","00:22:59","00:28:48","--","--"
Treadmill Running,2025-04-04 12:58:48,false,"Threshold","5.88","336","00:27:04","142","168","3.1","152","226","4:36","3:33","--","--","1.49","8.5","12.8","223","50.4% L / 49.6% R","--","370","0.0","352","508","4,070","--","No","00:00:03.6","8","--","34","14","42","00:25:44","00:27:04","--","--"
Treadmill Running,2025-04-03 15:39:23,false,"Base","7.03","346","00:34:23","129","141","2.2","156","161","4:54","4:47","--","--","1.26","8.7","10.9","274","--","--","306","0.0","305","336","5,352","--","No","00:03:51.8","7","--","--","--","--","00:34:07","00:38:13","--","--"
Treadmill Running,2025-04-02 17:05:44,false,"Base","7.04","407","00:35:46","137","150","2.7","157","216","5:05","4:31","--","--","1.32","8.5","11.2","270","--","--","320","0.0","319","368","5,584","--","No","00:01:38.3","8","--","--","--","--","00:35:33","00:39:23","--","--"
Treadmill Running,2025-03-31 15:56:58,false,"Threshold","7.91","456","00:40:04","140","173","3.1","145","252","5:04","3:13","--","--","1.43","7.9","11.3","244","50.3% L / 49.7% R","--","346","0.0","303","559","5,644","--","No","00:00:03.7","14","--","32","13","46","00:36:13","00:41:10","--","--"
Treadmill Running,2025-03-29 17:41:43,false,"Treadmill Running","4.03","225","00:19:48","133","147","2.2","154","161","4:55","4:40","--","--","1.29","8.6","11.1","275","--","--","313","0.0","310","345","3,050","--","No","00:04:35.5","4","--","--","--","--","00:19:33","00:19:48","--","--"
Treadmill Running,2025-03-28 11:40:49,false,"Base","6.49","374","00:33:07","135","149","2.5","154","163","5:06","4:31","--","--","1.33","8.4","11.1","269","--","--","322","0.0","314","351","5,038","--","No","00:00:06.7","8","--","--","--","--","00:32:09","00:33:07","--","--"
Treadmill Running,2025-03-27 18:08:03,false,"Threshold","8.11","503","00:36:06","154","171","3.6","157","172","4:27","3:55","--","--","1.37","9.2","12.9","227","50.1% L / 49.9% R","--","344","0.0","340","454","5,596","--","No","00:00:05.8","9","--","36","22","57","00:35:48","00:36:06","--","--"
Treadmill Running,2025-03-26 12:25:41,false,"Base","6.04","292","00:29:39","127","146","2.1","155","204","4:55","4:18","--","--","1.32","8.4","11.2","270","--","--","319","0.0","317","389","4,710","--","No","00:00:10.3","7","--","--","--","--","00:29:07","00:31:41","--","--"
Treadmill Running,2025-03-25 18:29:40,false,"Base","6.22","355","00:29:45","137","149","2.7","157","163","4:47","4:29","--","--","1.33","8.4","11.2","267","--","--","326","0.0","325","362","4,680","--","No","00:01:01.9","7","--","--","--","--","00:29:39","00:29:45","--","--"
Running,2025-03-23 13:35:35,false,"Sydney - VO2 Max","6.13","411","00:33:06","147","180","3.2","149","219","5:24","2:57","50","48","1.23","7.6","9.6","245","50.1% L / 49.9% R","5:20","348","0.0","287","524","4,802","24.0","No","00:00:05.6","12","28.0","34","17","56","00:32:06","00:33:06","47","60"
Treadmill Running,2025-03-21 11:27:31,false,"Base","5.02","259","00:24:26","129","150","2.3","156","228","4:52","4:01","--","--","1.31","8.6","11.2","274","--","--","317","0.0","318","398","3,782","--","No","00:04:48.6","5","--","--","--","--","00:24:24","00:26:14","--","--"
Treadmill Running,2025-03-20 13:02:46,false,"Base","8.08","449","00:39:48","137","155","2.7","155","240","4:56","3:51","--","--","1.35","8.4","11.4","271","--","--","326","0.0","324","429","6,154","--","No","00:00:02.8","10","--","--","--","--","00:39:28","00:42:35","--","--"
Treadmill Running,2025-03-19 12:25:01,false,"Base","6.26","250","00:30:03","118","149","1.6","155","240","4:48","4:30","--","--","1.27","8.6","10.9","274","--","--","308","0.0","304","358","4,626","--","No","00:00:03.4","7","--","--","--","--","00:29:34","00:31:17","--","--"
Running,2025-03-18 17:47:06,false,"Sydney - Base","7.01","429","00:32:56","143","159","3.0","162","167","4:42","3:56","49","53","1.31","8.1","10.6","256","--","4:40","344","0.0","339","464","5,344","25.0","No","00:00:05.2","8","29.0","--","--","--","00:32:51","00:34:44","44","57"
Treadmill Running,2025-03-16 16:22:58,false,"Base","10.05","644","00:51:36","143","156","3.3","156","165","5:08","4:43","--","--","1.29","8.6","11.1","272","--","--","315","0.0","314","350","8,066","--","No","00:00:12.9","12","--","--","--","--","00:51:23","00:53:09","--","--"
Treadmill Running,2025-03-15 13:01:37,false,"Tempo","8.02","486","00:40:15","144","168","3.2","152","233","5:01","3:24","--","--","1.33","8.1","11.3","252","50.2% L / 49.8% R","--","340","0.0","308","477","6,020","--","No","00:00:15.0","11","--","33","15","48","00:39:41","00:40:15","--","--"
Treadmill Running,2025-03-14 12:35:56,false,"Treadmill Running","6.00","297","00:29:32","127","154","2.3","157","220","4:55","3:24","--","--","1.30","8.5","11.1","270","--","--","317","0.0","317","472","4,622","--","No","00:00:01.1","7","--","--","--","--","00:29:26","00:30:28","--","--"
Treadmill Running,2025-03-13 12:10:24,false,"Base","6.12","375","00:30:05","140","156","3.0","157","225","4:55","3:31","--","--","1.30","8.5","11.1","270","--","--","318","0.0","317","449","4,706","--","No","00:00:04.6","8","--","--","--","--","00:29:57","00:30:05","--","--"
